date,region,crop,price_inr_qtl
2025-09-11,Bhopal,Wheat,2080.32
2025-09-12,Bhopal,Wheat,2167.45
2025-09-13,Bhopal,Wheat,2185.17
2025-09-14,Bhopal,Wheat,2076.67
2025-09-15,Bhopal,Wheat,2186.74
2025-09-16,Bhopal,Wheat,2136.26
2025-09-17,Bhopal,Wheat,2093.44
2025-09-18,Bhopal,Wheat,2190.11
2025-09-19,Bhopal,Wheat,2064.38
2025-09-20,Bhopal,Wheat,2218.65
2025-09-21,Bhopal,Wheat,2170.3
2025-09-22,Bhopal,Wheat,2087.52
2025-09-23,Bhopal,Wheat,2079.1
2025-09-24,Bhopal,Wheat,2183.82
2025-09-25,Bhopal,Wheat,2038.06
2025-09-26,Bhopal,Wheat,2154.53
2025-09-27,Bhopal,Wheat,2047.27
2025-09-28,Bhopal,Wheat,2130.67
2025-09-29,Bhopal,Wheat,2110.71
2025-09-30,Bhopal,Wheat,2207.56
2025-10-01,Bhopal,Wheat,2169.19
2025-10-02,Bhopal,Wheat,2122.31
2025-10-03,Bhopal,Wheat,2123.93
2025-10-04,Bhopal,Wheat,2088.22
2025-10-05,Bhopal,Wheat,2142.51
2025-10-06,Bhopal,Wheat,2234.82
2025-10-07,Bhopal,Wheat,2142.99
2025-10-08,Bhopal,Wheat,2206.05
2025-10-09,Bhopal,Wheat,2184.41
2025-10-10,Bhopal,Wheat,2176.84
2025-10-11,Bhopal,Wheat,2233.02
2025-10-12,Bhopal,Wheat,2217.87
2025-10-13,Bhopal,Wheat,2196.88
2025-10-14,Bhopal,Wheat,2154.25
2025-10-15,Bhopal,Wheat,2146.75
2025-10-16,Bhopal,Wheat,2255.32
2025-10-17,Bhopal,Wheat,2214.82
2025-10-18,Bhopal,Wheat,2270.42
2025-10-19,Bhopal,Wheat,2206.76
2025-10-20,Bhopal,Wheat,2247.13
2025-10-21,Bhopal,Wheat,2283.24
2025-10-22,Bhopal,Wheat,2244.12
2025-10-23,Bhopal,Wheat,2233.83
2025-10-24,Bhopal,Wheat,2319.86
2025-10-25,Bhopal,Wheat,2224.88
2025-10-26,Bhopal,Wheat,2267.83
2025-10-27,Bhopal,Wheat,2319.15
2025-10-28,Bhopal,Wheat,2371.85
2025-10-29,Bhopal,Wheat,2275.08
2025-10-30,Bhopal,Wheat,2356.17
2025-10-31,Bhopal,Wheat,2237.19
2025-11-01,Bhopal,Wheat,2240.95
2025-11-02,Bhopal,Wheat,2294.42
2025-11-03,Bhopal,Wheat,2368.21
2025-11-04,Bhopal,Wheat,2392.27
2025-11-05,Bhopal,Wheat,2387.05
2025-11-06,Bhopal,Wheat,2346.74
2025-11-07,Bhopal,Wheat,2313.76
2025-11-08,Bhopal,Wheat,2377.32
2025-11-09,Bhopal,Wheat,2389.5
2025-11-10,Bhopal,Wheat,2428.96
2025-11-11,Bhopal,Wheat,2393.39
2025-11-12,Bhopal,Wheat,2468.47
2025-11-13,Bhopal,Wheat,2490.75
2025-11-14,Bhopal,Wheat,2516.42
2025-11-15,Bhopal,Wheat,2431.0
2025-11-16,Bhopal,Wheat,2452.19
2025-11-17,Bhopal,Wheat,2428.97
2025-11-18,Bhopal,Wheat,2500.25
2025-11-19,Bhopal,Wheat,2490.36
2025-11-20,Bhopal,Wheat,2495.98
2025-11-21,Bhopal,Wheat,2523.62
2025-11-22,Bhopal,Wheat,2423.57
2025-11-23,Bhopal,Wheat,2497.85
2025-11-24,Bhopal,Wheat,2505.95
2025-11-25,Bhopal,Wheat,2453.57
2025-11-26,Bhopal,Wheat,2431.43
2025-11-27,Bhopal,Wheat,2558.8
2025-11-28,Bhopal,Wheat,2490.84
2025-11-29,Bhopal,Wheat,2513.08
2025-11-30,Bhopal,Wheat,2500.0
2025-12-01,Bhopal,Wheat,2520.26
2025-12-02,Bhopal,Wheat,2470.33
2025-12-03,Bhopal,Wheat,2512.34
2025-12-04,Bhopal,Wheat,2577.59
2025-12-05,Bhopal,Wheat,2578.36
2025-12-06,Bhopal,Wheat,2463.11
2025-12-07,Bhopal,Wheat,2530.48
2025-12-08,Bhopal,Wheat,2547.07
2025-12-09,Bhopal,Wheat,2513.88
2025-12-10,Bhopal,Wheat,2527.48
2025-12-11,Bhopal,Wheat,2495.27
2025-12-12,Bhopal,Wheat,2519.27
2025-12-13,Bhopal,Wheat,2565.8
2025-12-14,Bhopal,Wheat,2480.79
2025-12-15,Bhopal,Wheat,2528.45
2025-12-16,Bhopal,Wheat,2494.46
2025-12-17,Bhopal,Wheat,2503.33
2025-12-18,Bhopal,Wheat,2359.86
2025-12-19,Bhopal,Wheat,2565.77
2025-12-20,Bhopal,Wheat,2471.27
2025-12-21,Bhopal,Wheat,2481.02
2025-12-22,Bhopal,Wheat,2532.01
2025-12-23,Bhopal,Wheat,2533.63
2025-12-24,Bhopal,Wheat,2443.89
2025-12-25,Bhopal,Wheat,2518.88
2025-12-26,Bhopal,Wheat,2441.94
2025-12-27,Bhopal,Wheat,2516.59
2025-12-28,Bhopal,Wheat,2394.15
2025-12-29,Bhopal,Wheat,2472.23
2025-12-30,Bhopal,Wheat,2508.29
2025-12-31,Bhopal,Wheat,2422.21
2026-01-01,Bhopal,Wheat,2423.41
2026-01-02,Bhopal,Wheat,2374.75
2026-01-03,Bhopal,Wheat,2341.59
2026-01-04,Bhopal,Wheat,2457.22
2026-01-05,Bhopal,Wheat,2392.08
2026-01-06,Bhopal,Wheat,2360.61
2026-01-07,Bhopal,Wheat,2376.0
2026-01-08,Bhopal,Wheat,2355.62
2026-01-09,Bhopal,Wheat,2423.86
2026-01-10,Bhopal,Wheat,2317.57
2026-01-11,Bhopal,Wheat,2425.1
2026-01-12,Bhopal,Wheat,2336.26
2026-01-13,Bhopal,Wheat,2437.42
2026-01-14,Bhopal,Wheat,2312.81
2026-01-15,Bhopal,Wheat,2371.87
2026-01-16,Bhopal,Wheat,2390.33
2026-01-17,Bhopal,Wheat,2257.61
2026-01-18,Bhopal,Wheat,2300.64
2026-01-19,Bhopal,Wheat,2320.37
2026-01-20,Bhopal,Wheat,2263.7
2026-01-21,Bhopal,Wheat,2330.23
2026-01-22,Bhopal,Wheat,2240.89
2026-01-23,Bhopal,Wheat,2318.15
2026-01-24,Bhopal,Wheat,2271.24
2026-01-25,Bhopal,Wheat,2241.1
2026-01-26,Bhopal,Wheat,2296.5
2026-01-27,Bhopal,Wheat,2309.63
2026-01-28,Bhopal,Wheat,2308.01
2026-01-29,Bhopal,Wheat,2230.43
2026-01-30,Bhopal,Wheat,2224.55
2026-01-31,Bhopal,Wheat,2263.98
2026-02-01,Bhopal,Wheat,2137.09
2026-02-02,Bhopal,Wheat,2258.96
2026-02-03,Bhopal,Wheat,2223.55
2026-02-04,Bhopal,Wheat,2333.78
2026-02-05,Bhopal,Wheat,2241.58
2026-02-06,Bhopal,Wheat,2254.77
2026-02-07,Bhopal,Wheat,2325.87
2026-02-08,Bhopal,Wheat,2272.45
2026-02-09,Bhopal,Wheat,2274.84
2026-02-10,Bhopal,Wheat,2248.4
2026-02-11,Bhopal,Wheat,2175.2
2026-02-12,Bhopal,Wheat,2257.03
2026-02-13,Bhopal,Wheat,2233.97
2026-02-14,Bhopal,Wheat,2306.69
2026-02-15,Bhopal,Wheat,2207.46
2026-02-16,Bhopal,Wheat,2240.23
2026-02-17,Bhopal,Wheat,2312.23
2026-02-18,Bhopal,Wheat,2175.96
2026-02-19,Bhopal,Wheat,2206.88
2026-02-20,Bhopal,Wheat,2244.65
2026-02-21,Bhopal,Wheat,2294.28
2026-02-22,Bhopal,Wheat,2251.8
2026-02-23,Bhopal,Wheat,2296.17
2026-02-24,Bhopal,Wheat,2270.86
2026-02-25,Bhopal,Wheat,2349.93
2026-02-26,Bhopal,Wheat,2317.24
2026-02-27,Bhopal,Wheat,2360.0
2026-02-28,Bhopal,Wheat,2368.9
2026-03-01,Bhopal,Wheat,2408.67
2026-03-02,Bhopal,Wheat,2447.55
2026-03-03,Bhopal,Wheat,2319.9
2026-03-04,Bhopal,Wheat,2354.26
2026-03-05,Bhopal,Wheat,2370.59
2026-03-06,Bhopal,Wheat,2300.28
2026-03-07,Bhopal,Wheat,2358.35
2026-03-08,Bhopal,Wheat,2404.63
2026-03-09,Bhopal,Wheat,2302.97
2026-03-10,Bhopal,Wheat,2451.07
2026-03-11,Bhopal,Wheat,2358.9
2026-03-12,Bhopal,Wheat,2395.18
2026-03-13,Bhopal,Wheat,2447.37
2026-03-14,Bhopal,Wheat,2437.81
2026-03-15,Bhopal,Wheat,2309.65
2026-03-16,Bhopal,Wheat,2350.54
2026-03-17,Bhopal,Wheat,2428.55
2026-03-18,Bhopal,Wheat,2494.03
2026-03-19,Bhopal,Wheat,2440.32
2026-03-20,Bhopal,Wheat,2400.75
2026-03-21,Bhopal,Wheat,2504.83
2026-03-22,Bhopal,Wheat,2396.97
2026-03-23,Bhopal,Wheat,2539.05
2026-03-24,Bhopal,Wheat,2477.58
2025-06-18,Sehore,Wheat,2252.44
2025-06-19,Sehore,Wheat,2308.35
2025-06-20,Sehore,Wheat,2300.1
2025-06-21,Sehore,Wheat,2271.08
2025-06-22,Sehore,Wheat,2261.14
2025-06-23,Sehore,Wheat,2359.58
2025-06-24,Sehore,Wheat,2288.65
2025-06-25,Sehore,Wheat,2375.0
2025-06-26,Sehore,Wheat,2368.71
2025-06-27,Sehore,Wheat,2305.79
2025-06-28,Sehore,Wheat,2379.24
2025-06-29,Sehore,Wheat,2269.74
2025-06-30,Sehore,Wheat,2394.01
2025-07-01,Sehore,Wheat,2414.7
2025-07-02,Sehore,Wheat,2411.62
2025-07-03,Sehore,Wheat,2404.37
2025-07-04,Sehore,Wheat,2368.29
2025-07-05,Sehore,Wheat,2451.42
2025-07-06,Sehore,Wheat,2448.75
2025-07-07,Sehore,Wheat,2459.98
2025-07-08,Sehore,Wheat,2432.9
2025-07-09,Sehore,Wheat,2384.8
2025-07-10,Sehore,Wheat,2433.04
2025-07-11,Sehore,Wheat,2438.21
2025-07-12,Sehore,Wheat,2429.39
2025-07-13,Sehore,Wheat,2468.97
2025-07-14,Sehore,Wheat,2445.03
2025-07-15,Sehore,Wheat,2430.12
2025-07-16,Sehore,Wheat,2456.48
2025-07-17,Sehore,Wheat,2433.2
2025-07-18,Sehore,Wheat,2492.54
2025-07-19,Sehore,Wheat,2501.19
2025-07-20,Sehore,Wheat,2463.23
2025-07-21,Sehore,Wheat,2496.57
2025-07-22,Sehore,Wheat,2408.8
2025-07-23,Sehore,Wheat,2403.06
2025-07-24,Sehore,Wheat,2343.66
2025-07-25,Sehore,Wheat,2326.64
2025-07-26,Sehore,Wheat,2430.24
2025-07-27,Sehore,Wheat,2534.88
2025-07-28,Sehore,Wheat,2484.86
2025-07-29,Sehore,Wheat,2400.22
2025-07-30,Sehore,Wheat,2310.54
2025-07-31,Sehore,Wheat,2356.51
2025-08-01,Sehore,Wheat,2455.14
2025-08-02,Sehore,Wheat,2394.49
2025-08-03,Sehore,Wheat,2467.44
2025-08-04,Sehore,Wheat,2380.64
2025-08-05,Sehore,Wheat,2389.57
2025-08-06,Sehore,Wheat,2408.87
2025-08-07,Sehore,Wheat,2468.65
2025-08-08,Sehore,Wheat,2297.62
2025-08-09,Sehore,Wheat,2377.18
2025-08-10,Sehore,Wheat,2255.78
2025-08-11,Sehore,Wheat,2372.57
2025-08-12,Sehore,Wheat,2388.9
2025-08-13,Sehore,Wheat,2338.51
2025-08-14,Sehore,Wheat,2335.92
2025-08-15,Sehore,Wheat,2340.53
2025-08-16,Sehore,Wheat,2329.25
2025-08-17,Sehore,Wheat,2285.49
2025-08-18,Sehore,Wheat,2261.16
2025-08-19,Sehore,Wheat,2331.27
2025-08-20,Sehore,Wheat,2338.34
2025-08-21,Sehore,Wheat,2327.29
2025-08-22,Sehore,Wheat,2295.43
2025-08-23,Sehore,Wheat,2264.64
2025-08-24,Sehore,Wheat,2282.82
2025-08-25,Sehore,Wheat,2250.3
2025-08-26,Sehore,Wheat,2317.6
2025-08-27,Sehore,Wheat,2308.11
2025-08-28,Sehore,Wheat,2242.89
2025-08-29,Sehore,Wheat,2192.57
2025-08-30,Sehore,Wheat,2260.98
2025-08-31,Sehore,Wheat,2222.65
2025-09-01,Sehore,Wheat,2227.8
2025-09-02,Sehore,Wheat,2232.71
2025-09-03,Sehore,Wheat,2153.09
2025-09-04,Sehore,Wheat,2134.1
2025-09-05,Sehore,Wheat,2176.22
2025-09-06,Sehore,Wheat,2256.9
2025-09-07,Sehore,Wheat,2219.03
2025-09-08,Sehore,Wheat,2112.56
2025-09-09,Sehore,Wheat,2155.58
2025-09-10,Sehore,Wheat,2190.8
2025-09-11,Sehore,Wheat,2232.7
2025-09-12,Sehore,Wheat,2204.08
2025-09-13,Sehore,Wheat,2127.77
2025-09-14,Sehore,Wheat,2159.62
2025-09-15,Sehore,Wheat,2147.62
2025-09-16,Sehore,Wheat,2246.34
2025-09-17,Sehore,Wheat,2114.06
2025-09-18,Sehore,Wheat,2146.51
2025-09-19,Sehore,Wheat,2125.73
2025-09-20,Sehore,Wheat,2157.86
2025-09-21,Sehore,Wheat,2197.11
2025-09-22,Sehore,Wheat,2222.5
2025-09-23,Sehore,Wheat,2222.01
2025-09-24,Sehore,Wheat,2141.58
2025-09-25,Sehore,Wheat,2202.98
2025-09-26,Sehore,Wheat,2134.61
2025-09-27,Sehore,Wheat,2159.19
2025-09-28,Sehore,Wheat,2211.4
2025-09-29,Sehore,Wheat,2207.54
2025-09-30,Sehore,Wheat,2221.3
2025-10-01,Sehore,Wheat,2140.13
2025-10-02,Sehore,Wheat,2241.45
2025-10-03,Sehore,Wheat,2186.55
2025-10-04,Sehore,Wheat,2158.0
2025-10-05,Sehore,Wheat,2202.49
2025-10-06,Sehore,Wheat,2191.89
2025-10-07,Sehore,Wheat,2148.68
2025-10-08,Sehore,Wheat,2119.15
2025-10-09,Sehore,Wheat,2245.46
2025-10-10,Sehore,Wheat,2285.99
2025-10-11,Sehore,Wheat,2190.42
2025-10-12,Sehore,Wheat,2218.03
2025-10-13,Sehore,Wheat,2164.4
2025-10-14,Sehore,Wheat,2187.33
2025-10-15,Sehore,Wheat,2292.7
2025-10-16,Sehore,Wheat,2249.18
2025-10-17,Sehore,Wheat,2341.65
2025-10-18,Sehore,Wheat,2243.1
2025-10-19,Sehore,Wheat,2351.57
2025-10-20,Sehore,Wheat,2345.85
2025-10-21,Sehore,Wheat,2321.65
2025-10-22,Sehore,Wheat,2371.53
2025-10-23,Sehore,Wheat,2227.92
2025-10-24,Sehore,Wheat,2339.46
2025-10-25,Sehore,Wheat,2385.25
2025-10-26,Sehore,Wheat,2339.94
2025-10-27,Sehore,Wheat,2338.77
2025-10-28,Sehore,Wheat,2354.4
2025-10-29,Sehore,Wheat,2373.35
2025-10-30,Sehore,Wheat,2336.2
2025-10-31,Sehore,Wheat,2387.58
2025-11-01,Sehore,Wheat,2427.64
2025-11-02,Sehore,Wheat,2455.53
2025-11-03,Sehore,Wheat,2361.22
2025-11-04,Sehore,Wheat,2381.38
2025-11-05,Sehore,Wheat,2369.3
2025-11-06,Sehore,Wheat,2439.93
2025-11-07,Sehore,Wheat,2535.49
2025-11-08,Sehore,Wheat,2416.53
2025-11-09,Sehore,Wheat,2419.44
2025-11-10,Sehore,Wheat,2443.97
2025-11-11,Sehore,Wheat,2442.81
2025-11-12,Sehore,Wheat,2451.22
2025-11-13,Sehore,Wheat,2466.3
2025-11-14,Sehore,Wheat,2411.4
2025-11-15,Sehore,Wheat,2490.23
2025-11-16,Sehore,Wheat,2526.44
2025-11-17,Sehore,Wheat,2499.27
2025-11-18,Sehore,Wheat,2577.74
2025-11-19,Sehore,Wheat,2542.15
2025-11-20,Sehore,Wheat,2435.14
2025-11-21,Sehore,Wheat,2540.04
2025-11-22,Sehore,Wheat,2540.37
2025-11-23,Sehore,Wheat,2530.55
2025-11-24,Sehore,Wheat,2594.77
2025-11-25,Sehore,Wheat,2558.15
2025-11-26,Sehore,Wheat,2543.51
2025-11-27,Sehore,Wheat,2587.26
2025-11-28,Sehore,Wheat,2509.21
2025-11-29,Sehore,Wheat,2561.2
2025-11-30,Sehore,Wheat,2600.46
2025-12-01,Sehore,Wheat,2520.59
2025-12-02,Sehore,Wheat,2498.23
2025-12-03,Sehore,Wheat,2505.84
2025-12-04,Sehore,Wheat,2563.56
2025-12-05,Sehore,Wheat,2648.42
2025-12-06,Sehore,Wheat,2558.15
2025-12-07,Sehore,Wheat,2679.62
2025-12-08,Sehore,Wheat,2612.29
2025-12-09,Sehore,Wheat,2571.29
2025-12-10,Sehore,Wheat,2497.13
2025-12-11,Sehore,Wheat,2582.73
2025-12-12,Sehore,Wheat,2588.84
2025-12-13,Sehore,Wheat,2474.39
2025-12-14,Sehore,Wheat,2613.75
2025-12-15,Sehore,Wheat,2513.66
2025-12-16,Sehore,Wheat,2525.11
2025-12-17,Sehore,Wheat,2590.93
2025-12-18,Sehore,Wheat,2574.04
2025-12-19,Sehore,Wheat,2585.77
2025-12-20,Sehore,Wheat,2510.98
2025-12-21,Sehore,Wheat,2549.25
2025-12-22,Sehore,Wheat,2493.21
2025-12-23,Sehore,Wheat,2517.66
2025-12-24,Sehore,Wheat,2492.14
2025-12-25,Sehore,Wheat,2453.27
2025-12-26,Sehore,Wheat,2539.36
2025-12-27,Sehore,Wheat,2447.76
2025-12-28,Sehore,Wheat,2464.63
2025-12-29,Sehore,Wheat,2472.67
2025-12-30,Sehore,Wheat,2445.77
2025-12-31,Sehore,Wheat,2419.71
2026-01-01,Sehore,Wheat,2483.3
2026-01-02,Sehore,Wheat,2475.01
2026-01-03,Sehore,Wheat,2500.97
2026-01-04,Sehore,Wheat,2445.44
2026-01-05,Sehore,Wheat,2473.75
2026-01-06,Sehore,Wheat,2528.58
2026-01-07,Sehore,Wheat,2401.17
2026-01-08,Sehore,Wheat,2476.89
2026-01-09,Sehore,Wheat,2387.52
2026-01-10,Sehore,Wheat,2396.32
2026-01-11,Sehore,Wheat,2426.15
2026-01-12,Sehore,Wheat,2343.75
2026-01-13,Sehore,Wheat,2376.4
2026-01-14,Sehore,Wheat,2329.25
2026-01-15,Sehore,Wheat,2382.87
2026-01-16,Sehore,Wheat,2350.21
2026-01-17,Sehore,Wheat,2396.33
2026-01-18,Sehore,Wheat,2300.69
2026-01-19,Sehore,Wheat,2331.13
2026-01-20,Sehore,Wheat,2357.18
2026-01-21,Sehore,Wheat,2342.66
2026-01-22,Sehore,Wheat,2359.78
2026-01-23,Sehore,Wheat,2304.11
2026-01-24,Sehore,Wheat,2304.19
2026-01-25,Sehore,Wheat,2322.94
2026-01-26,Sehore,Wheat,2238.97
2026-01-27,Sehore,Wheat,2332.2
2026-01-28,Sehore,Wheat,2281.36
2026-01-29,Sehore,Wheat,2248.13
2026-01-30,Sehore,Wheat,2453.03
2026-01-31,Sehore,Wheat,2388.82
2026-02-01,Sehore,Wheat,2351.19
2026-02-02,Sehore,Wheat,2343.0
2026-02-03,Sehore,Wheat,2378.65
2026-02-04,Sehore,Wheat,2260.2
2026-02-05,Sehore,Wheat,2251.58
2026-02-06,Sehore,Wheat,2241.21
2026-02-07,Sehore,Wheat,2290.85
2026-02-08,Sehore,Wheat,2262.24
2026-02-09,Sehore,Wheat,2309.8
2026-02-10,Sehore,Wheat,2278.14
2026-02-11,Sehore,Wheat,2263.71
2026-02-12,Sehore,Wheat,2210.73
2026-02-13,Sehore,Wheat,2354.49
2026-02-14,Sehore,Wheat,2286.86
2026-02-15,Sehore,Wheat,2335.04
2026-02-16,Sehore,Wheat,2280.98
2026-02-17,Sehore,Wheat,2363.71
2026-02-18,Sehore,Wheat,2273.51
2026-02-19,Sehore,Wheat,2300.23
2026-02-20,Sehore,Wheat,2322.79
2026-02-21,Sehore,Wheat,2406.73
2026-02-22,Sehore,Wheat,2410.45
2026-02-23,Sehore,Wheat,2305.19
2026-02-24,Sehore,Wheat,2366.91
2026-02-25,Sehore,Wheat,2325.46
2026-02-26,Sehore,Wheat,2365.23
2026-02-27,Sehore,Wheat,2305.87
2026-02-28,Sehore,Wheat,2377.69
2026-03-01,Sehore,Wheat,2349.18
2026-03-02,Sehore,Wheat,2359.73
2026-03-03,Sehore,Wheat,2382.01
2026-03-04,Sehore,Wheat,2411.29
2026-03-05,Sehore,Wheat,2377.11
2026-03-06,Sehore,Wheat,2381.08
2026-03-07,Sehore,Wheat,2401.63
2026-03-08,Sehore,Wheat,2417.98
2026-03-09,Sehore,Wheat,2461.6
2026-03-10,Sehore,Wheat,2493.23
2026-03-11,Sehore,Wheat,2453.66
2026-03-12,Sehore,Wheat,2413.53
2026-03-13,Sehore,Wheat,2462.39
2026-03-14,Sehore,Wheat,2496.2
2026-03-15,Sehore,Wheat,2533.39
2026-03-16,Sehore,Wheat,2573.84
2026-03-17,Sehore,Wheat,2524.83
2026-03-18,Sehore,Wheat,2555.07
2026-03-19,Sehore,Wheat,2432.25
2026-03-20,Sehore,Wheat,2429.69
2026-03-21,Sehore,Wheat,2532.64
2026-03-22,Sehore,Wheat,2518.04
2026-03-23,Sehore,Wheat,2485.49
2026-03-24,Sehore,Wheat,2584.45
2025-06-18,Ashta,Wheat,2154.17
2025-06-19,Ashta,Wheat,2209.87
2025-06-20,Ashta,Wheat,2260.79
2025-06-21,Ashta,Wheat,2216.22
2025-06-22,Ashta,Wheat,2312.51
2025-06-23,Ashta,Wheat,2318.74
2025-06-24,Ashta,Wheat,2339.37
2025-06-25,Ashta,Wheat,2274.04
2025-06-26,Ashta,Wheat,2235.06
2025-06-27,Ashta,Wheat,2319.04
2025-06-28,Ashta,Wheat,2289.74
2025-06-29,Ashta,Wheat,2274.38
2025-06-30,Ashta,Wheat,2256.02
2025-07-01,Ashta,Wheat,2220.56
2025-07-02,Ashta,Wheat,2400.52
2025-07-03,Ashta,Wheat,2197.65
2025-07-04,Ashta,Wheat,2291.46
2025-07-05,Ashta,Wheat,2378.03
2025-07-06,Ashta,Wheat,2364.77
2025-07-07,Ashta,Wheat,2294.5
2025-07-08,Ashta,Wheat,2276.61
2025-07-09,Ashta,Wheat,2243.7
2025-07-10,Ashta,Wheat,2346.24
2025-07-11,Ashta,Wheat,2317.34
2025-07-12,Ashta,Wheat,2332.52
2025-07-13,Ashta,Wheat,2271.65
2025-07-14,Ashta,Wheat,2448.77
2025-07-15,Ashta,Wheat,2316.09
2025-07-16,Ashta,Wheat,2404.29
2025-07-17,Ashta,Wheat,2312.77
2025-07-18,Ashta,Wheat,2292.7
2025-07-19,Ashta,Wheat,2337.57
2025-07-20,Ashta,Wheat,2316.07
2025-07-21,Ashta,Wheat,2377.24
2025-07-22,Ashta,Wheat,2352.68
2025-07-23,Ashta,Wheat,2463.74
2025-07-24,Ashta,Wheat,2315.38
2025-07-25,Ashta,Wheat,2335.25
2025-07-26,Ashta,Wheat,2383.13
2025-07-27,Ashta,Wheat,2241.84
2025-07-28,Ashta,Wheat,2359.03
2025-07-29,Ashta,Wheat,2299.3
2025-07-30,Ashta,Wheat,2306.82
2025-07-31,Ashta,Wheat,2224.41
2025-08-01,Ashta,Wheat,2290.29
2025-08-02,Ashta,Wheat,2354.6
2025-08-03,Ashta,Wheat,2324.04
2025-08-04,Ashta,Wheat,2291.95
2025-08-05,Ashta,Wheat,2298.11
2025-08-06,Ashta,Wheat,2282.23
2025-08-07,Ashta,Wheat,2424.4
2025-08-08,Ashta,Wheat,2310.15
2025-08-09,Ashta,Wheat,2245.51
2025-08-10,Ashta,Wheat,2310.94
2025-08-11,Ashta,Wheat,2376.45
2025-08-12,Ashta,Wheat,2367.25
2025-08-13,Ashta,Wheat,2305.4
2025-08-14,Ashta,Wheat,2327.11
2025-08-15,Ashta,Wheat,2268.21
2025-08-16,Ashta,Wheat,2232.91
2025-08-17,Ashta,Wheat,2210.11
2025-08-18,Ashta,Wheat,2303.93
