date,doy,crop,ndvi
2026-01-28,28,Maize,0.6902
2026-01-29,29,Maize,0.6899
2026-01-30,30,Maize,0.6661
2026-01-31,31,Maize,0.6629
2026-02-01,32,Maize,0.6571
2026-02-02,33,Maize,0.6483
2026-02-03,34,Maize,0.6895
2026-02-04,35,Maize,0.6553
2026-02-05,36,Maize,0.6471
2026-02-06,37,Maize,0.6553
2026-02-07,38,Maize,0.6427
2026-02-08,39,Maize,0.6252
2026-02-09,40,Maize,0.6227
2026-02-10,41,Maize,0.6017
2026-02-11,42,Maize,0.6037
2026-02-12,43,Maize,0.6219
2026-02-13,44,Maize,0.583
2026-02-14,45,Maize,0.6177
2026-02-15,46,Maize,0.5817
2026-02-16,47,Maize,0.5718
2026-02-17,48,Maize,0.5712
2026-02-18,49,Maize,0.5531
2026-02-19,50,Maize,0.5321
2026-02-20,51,Maize,0.5383
2026-02-21,52,Maize,0.5426
2026-02-22,53,Maize,0.5216
2026-02-23,54,Maize,0.5153
2026-02-24,55,Maize,0.5182
2026-02-25,56,Maize,0.5155
2026-02-26,57,Maize,0.476
2026-02-27,58,Maize,0.5104
2026-02-28,59,Maize,0.5023
2026-03-01,60,Maize,0.4663
2026-03-02,61,Maize,0.4746
2026-03-03,62,Maize,0.4838
2026-03-04,63,Maize,0.4702
2026-03-05,64,Maize,0.457
2026-03-06,65,Maize,0.437
2026-03-07,66,Maize,0.4644
2026-03-08,67,Maize,0.4669
2026-03-09,68,Maize,0.432
2026-03-10,69,Maize,0.4692
2026-03-11,70,Maize,0.4412
2026-03-12,71,Maize,0.4437
2026-03-13,72,Maize,0.4181
2026-03-14,73,Maize,0.4351
2026-03-15,74,Maize,0.4074
2026-03-16,75,Maize,0.3974
2026-03-17,76,Maize,0.4267
2026-03-18,77,Maize,0.3964
2026-03-19,78,Maize,0.4119
2026-03-20,79,Maize,0.3992
2026-03-21,80,Maize,0.4157
2026-03-22,81,Maize,0.406
2026-03-23,82,Maize,0.3844
2026-03-24,83,Maize,0.3966
2025-10-26,299,Wheat,0.4304
2025-10-27,300,Wheat,0.4612
2025-10-28,301,Wheat,0.4455
2025-10-29,302,Wheat,0.4514
2025-10-30,303,Wheat,0.427
2025-10-31,304,Wheat,0.446
2025-11-01,305,Wheat,0.446
2025-11-02,306,Wheat,0.4678
2025-11-03,307,Wheat,0.4368
2025-11-04,308,Wheat,0.4506
2025-11-05,309,Wheat,0.4281
2025-11-06,310,Wheat,0.4509
2025-11-07,311,Wheat,0.4449
2025-11-08,312,Wheat,0.4437
2025-11-09,313,Wheat,0.4285
2025-11-10,314,Wheat,0.4705
2025-11-11,315,Wheat,0.4659
2025-11-12,316,Wheat,0.4541
2025-11-13,317,Wheat,0.4684
2025-11-14,318,Wheat,0.4599
2025-11-15,319,Wheat,0.4527
2025-11-16,320,Wheat,0.4959
2025-11-17,321,Wheat,0.4991
2025-11-18,322,Wheat,0.4884
2025-11-19,323,Wheat,0.4854
2025-11-20,324,Wheat,0.4887
2025-11-21,325,Wheat,0.4993
2025-11-22,326,Wheat,0.4999
2025-11-23,327,Wheat,0.502
2025-11-24,328,Wheat,0.5024
2025-11-25,329,Wheat,0.5096
2025-11-26,330,Wheat,0.5125
2025-11-27,331,Wheat,0.5231
2025-11-28,332,Wheat,0.5292
2025-11-29,333,Wheat,0.5311
2025-11-30,334,Wheat,0.5293
2025-12-01,335,Wheat,0.5137
2025-12-02,336,Wheat,0.5381
2025-12-03,337,Wheat,0.5377
2025-12-04,338,Wheat,0.5896
2025-12-05,339,Wheat,0.5657
2025-12-06,340,Wheat,0.5701
2025-12-07,341,Wheat,0.5719
2025-12-08,342,Wheat,0.5725
2025-12-09,343,Wheat,0.5809
2025-12-10,344,Wheat,0.556
2025-12-11,345,Wheat,0.606
2025-12-12,346,Wheat,0.5933
2025-12-13,347,Wheat,0.5998
2025-12-14,348,Wheat,0.6035
2025-12-15,349,Wheat,0.6084
2025-12-16,350,Wheat,0.6255
2025-12-17,351,Wheat,0.6287
2025-12-18,352,Wheat,0.616
2025-12-19,353,Wheat,0.6469
2025-12-20,354,Wheat,0.6259
2025-12-21,355,Wheat,0.6422
2025-12-22,356,Wheat,0.6562
2025-12-23,357,Wheat,0.6471
2025-12-24,358,Wheat,0.6596
2025-12-25,359,Wheat,0.6593
2025-12-26,360,Wheat,0.6847
2025-12-27,361,Wheat,0.6668
2025-12-28,362,Wheat,0.6881
2025-12-29,363,Wheat,0.6852
2025-12-30,364,Wheat,0.6666
2025-12-31,365,Wheat,0.6873
2026-01-01,1,Wheat,0.6386
2026-01-02,2,Wheat,0.6612
2026-01-03,3,Wheat,0.6816
2026-01-04,4,Wheat,0.6705
2026-01-05,5,Wheat,0.6669
2026-01-06,6,Wheat,0.6954
2026-01-07,7,Wheat,0.6625
2026-01-08,8,Wheat,0.6879
2026-01-09,9,Wheat,0.6796
2026-01-10,10,Wheat,0.6841
2026-01-11,11,Wheat,0.673
2026-01-12,12,Wheat,0.6437
2026-01-13,13,Wheat,0.6686
2026-01-14,14,Wheat,0.6513
2026-01-15,15,Wheat,0.6492
2026-01-16,16,Wheat,0.6552
2026-01-17,17,Wheat,0.6741
2026-01-18,18,Wheat,0.6682
2026-01-19,19,Wheat,0.6268
2026-01-20,20,Wheat,0.6367
2026-01-21,21,Wheat,0.6142
2026-01-22,22,Wheat,0.6287
2026-01-23,23,Wheat,0.614
2026-01-24,24,Wheat,0.6022
2026-01-25,25,Wheat,0.6032
2026-01-26,26,Wheat,0.5963
2026-01-27,27,Wheat,0.58
2026-01-28,28,Wheat,0.5704
2026-01-29,29,Wheat,0.5977
2026-01-30,30,Wheat,0.5699
2026-01-31,31,Wheat,0.5607
2026-02-01,32,Wheat,0.563
2026-02-02,33,Wheat,0.5574
2026-02-03,34,Wheat,0.5683
2026-02-04,35,Wheat,0.5417
2026-02-05,36,Wheat,0.5442
2026-02-06,37,Wheat,0.5183
2026-02-07,38,Wheat,0.5147
2026-02-08,39,Wheat,0.5304
2026-02-09,40,Wheat,0.5119
2026-02-10,41,Wheat,0.5099
2026-02-11,42,Wheat,0.4884
2026-02-12,43,Wheat,0.5168
2026-02-13,44,Wheat,0.4652
2026-02-14,45,Wheat,0.4817
2026-02-15,46,Wheat,0.476
2026-02-16,47,Wheat,0.4801
2026-02-17,48,Wheat,0.474
2026-02-18,49,Wheat,0.4713
2026-02-19,50,Wheat,0.4661
2026-02-20,51,Wheat,0.4614
2026-02-21,52,Wheat,0.476
2026-02-22,53,Wheat,0.4707
2026-02-23,54,Wheat,0.4484
2026-02-24,55,Wheat,0.4554
2026-02-25,56,Wheat,0.4539
2026-02-26,57,Wheat,0.4604
2026-02-27,58,Wheat,0.4694
2026-02-28,59,Wheat,0.4338
2026-03-01,60,Wheat,0.4469
2026-03-02,61,Wheat,0.4429
2026-03-03,62,Wheat,0.4538
2026-03-04,63,Wheat,0.4515
2026-03-05,64,Wheat,0.454
2026-03-06,65,Wheat,0.4591
2026-03-07,66,Wheat,0.4585
2026-03-08,67,Wheat,0.4802
2026-03-09,68,Wheat,0.4502
2026-03-10,69,Wheat,0.47
2026-03-11,70,Wheat,0.4634
2026-03-12,71,Wheat,0.431
2026-03-13,72,Wheat,0.4346
2026-03-14,73,Wheat,0.4614
2026-03-15,74,Wheat,0.4323
2026-03-16,75,Wheat,0.4456
2026-03-17,76,Wheat,0.452
2026-03-18,77,Wheat,0.4455
2026-03-19,78,Wheat,0.4228
2026-03-20,79,Wheat,0.4484
2026-03-21,80,Wheat,0.4412
2026-03-22,81,Wheat,0.4419
2026-03-23,82,Wheat,0.4282
2026-03-24,83,Wheat,0.4341
