date,climate_risk,pest_risk,overall_risk,risk_category
2025-11-29,7.8,97.42,43.65,Moderate
2025-11-30,7.51,99.18,44.17,Moderate
2025-12-01,6.54,1.59,4.56,Low
2025-12-02,5.78,2.5,4.47,Low
2025-12-03,3.35,1.66,2.68,Low
2025-12-04,5.64,6.75,6.09,Low
2025-12-05,5.2,1.09,3.56,Low
2025-12-06,5.46,2.43,4.25,Low
2025-12-07,2.94,0.67,2.03,Low
2025-12-08,3.67,0.31,2.33,Low
2025-12-09,1.67,0.34,1.14,Low
2025-12-10,5.07,0.67,3.31,Low
2025-12-11,3.89,3.84,3.87,Low
2025-12-12,3.57,0.34,2.28,Low
2025-12-13,2.02,1.17,1.68,Low
2025-12-14,4.14,0.34,2.62,Low
2025-12-15,2.11,0.34,1.4,Low
2025-12-16,4.02,0.67,2.68,Low
2025-12-17,2.0,0.34,1.33,Low
2025-12-18,2.57,2.08,2.38,Low
2025-12-19,5.3,0.34,3.31,Low
2025-12-20,3.29,0.73,2.27,Low
2025-12-21,1.84,0.31,1.23,Low
2025-12-22,6.0,0.31,3.73,Low
2025-12-23,4.97,0.31,3.11,Low
2025-12-24,4.79,0.38,3.03,Low
2025-12-25,6.02,0.31,3.74,Low
2025-12-26,2.22,0.31,1.46,Low
2025-12-27,1.84,0.31,1.23,Low
2025-12-28,6.38,0.31,3.96,Low
2025-12-29,5.41,0.31,3.37,Low
2025-12-30,2.61,0.31,1.69,Low
2025-12-31,2.35,0.31,1.53,Low
2026-01-01,2.65,0.31,1.71,Low
2026-01-02,4.74,0.31,2.97,Low
2026-01-03,4.33,0.31,2.72,Low
2026-01-04,6.1,0.31,3.79,Low
2026-01-05,2.32,0.31,1.52,Low
2026-01-06,1.93,0.31,1.28,Low
2026-01-07,5.0,0.31,3.13,Low
2026-01-08,4.19,0.31,2.64,Low
2026-01-09,4.93,0.31,3.08,Low
2026-01-10,4.67,0.31,2.93,Low
2026-01-11,5.7,0.31,3.54,Low
2026-01-12,2.54,0.31,1.65,Low
2026-01-13,4.6,0.31,2.88,Low
2026-01-14,2.24,0.31,1.47,Low
2026-01-15,3.77,0.31,2.39,Low
2026-01-16,2.63,0.31,1.7,Low
2026-01-17,2.12,0.31,1.4,Low
2026-01-18,3.66,0.31,2.32,Low
2026-01-19,2.61,0.31,1.69,Low
2026-01-20,5.72,0.31,3.56,Low
2026-01-21,2.27,0.31,1.49,Low
2026-01-22,2.48,0.31,1.61,Low
2026-01-23,2.35,0.31,1.54,Low
2026-01-24,5.34,0.31,3.33,Low
2026-01-25,5.0,0.31,3.13,Low
2026-01-26,5.2,0.31,3.24,Low
2026-01-27,2.17,0.31,1.43,Low
2026-01-28,4.57,0.31,2.87,Low
2026-01-29,5.78,0.31,3.59,Low
2026-01-30,8.7,0.31,5.35,Low
2026-01-31,7.69,0.31,4.74,Low
2026-02-01,8.35,0.31,5.14,Low
2026-02-02,7.79,0.31,4.8,Low
2026-02-03,12.0,0.31,7.33,Low
2026-02-04,13.87,0.31,8.45,Low
2026-02-05,13.5,0.31,8.23,Low
2026-02-06,13.39,0.31,8.16,Low
2026-02-07,20.22,0.31,12.26,Low
2026-02-08,18.07,0.31,10.97,Low
2026-02-09,22.73,0.31,13.77,Low
2026-02-10,19.92,0.31,12.08,Low
2026-02-11,23.14,0.31,14.01,Low
2026-02-12,22.73,0.31,13.76,Low
2026-02-13,22.67,0.31,13.73,Low
2026-02-14,21.55,0.31,13.06,Low
2026-02-15,21.15,0.31,12.82,Low
2026-02-16,21.21,0.31,12.85,Low
2026-02-17,24.28,0.31,14.69,Low
2026-02-18,21.82,0.31,13.22,Low
2026-02-19,24.28,0.31,14.69,Low
2026-02-20,24.09,0.31,14.58,Low
2026-02-21,23.44,0.31,14.19,Low
2026-02-22,25.17,0.31,15.23,Low
2026-02-23,22.16,0.31,13.42,Low
2026-02-24,24.97,0.73,15.27,Low
2026-02-25,21.57,0.31,13.07,Low
2026-02-26,22.05,0.31,13.36,Low
2026-02-27,21.46,0.31,13.0,Low
2026-02-28,24.22,0.31,14.66,Low
2026-03-01,21.51,0.31,13.03,Low
2026-03-02,21.59,0.31,13.08,Low
2026-03-03,21.1,0.73,12.95,Low
2026-03-04,22.69,0.31,13.74,Low
2026-03-05,20.76,0.73,12.75,Low
2026-03-06,22.07,0.31,13.37,Low
2026-03-07,19.06,0.31,11.56,Low
2026-03-08,22.54,0.31,13.65,Low
2026-03-09,20.08,0.31,12.18,Low
2026-03-10,16.35,0.31,9.94,Low
2026-03-11,16.43,0.73,10.15,Low
2026-03-12,16.25,0.31,9.88,Low
2026-03-13,16.56,0.31,10.06,Low
2026-03-14,16.59,0.31,10.08,Low
2026-03-15,19.62,0.31,11.9,Low
2026-03-16,12.88,0.31,7.85,Low
2026-03-17,15.1,0.31,9.19,Low
2026-03-18,11.35,0.31,6.94,Low
2026-03-19,7.66,0.31,4.72,Low
2026-03-20,4.88,0.31,3.05,Low
2026-03-21,7.51,0.31,4.63,Low
2026-03-22,2.17,0.31,1.43,Low
2026-03-23,2.52,0.31,1.64,Low
2026-03-24,4.91,0.31,3.07,Low
2026-03-25,8.29,100.0,44.97,Moderate
2026-03-26,15.94,100.0,49.56,Moderate
2026-03-27,14.57,100.0,48.74,Moderate
2026-03-28,16.22,97.32,48.66,Moderate
2026-03-29,12.97,97.32,46.71,Moderate
2026-03-30,12.01,1.56,7.83,Low
2026-03-31,9.79,1.15,6.33,Low
2026-04-01,10.29,0.31,6.3,Low
2026-04-02,4.13,0.73,2.77,Low
2026-04-03,3.21,0.31,2.05,Low
2026-04-04,8.66,0.31,5.32,Low
2026-04-05,4.96,0.31,3.1,Low
2026-04-06,7.51,0.31,4.63,Low
2026-04-07,7.35,1.17,4.88,Low
