date,rainfall_mm,tmax_c,tmin_c,humidity_pct
2026-01-02,1.74,16.91,13.07,44.84
2026-01-03,1.79,20.58,13.07,56.05
2026-01-04,0.42,19.62,15.04,46.74
2026-01-05,6.84,22.0,14.08,42.47
2026-01-06,6.1,26.43,14.2,50.58
2026-01-07,1.57,20.56,12.44,55.78
2026-01-08,2.01,21.27,14.02,42.03
2026-01-09,1.72,23.24,14.84,43.61
2026-01-10,1.57,24.15,12.87,44.76
2026-01-11,0.79,23.15,16.34,42.26
2026-01-12,9.88,23.45,16.44,49.25
2026-01-13,1.77,25.63,18.95,42.78
2026-01-14,3.53,25.64,14.25,42.69
2026-01-15,2.07,22.92,15.54,48.71
2026-01-16,2.54,25.22,16.01,41.53
2026-01-17,6.47,25.85,16.78,47.01
2026-01-18,2.11,24.08,18.03,39.54
2026-01-19,5.03,27.12,18.28,37.9
2026-01-20,0.97,25.3,19.4,34.38
2026-01-21,4.22,29.38,19.74,52.47
2026-01-22,5.18,28.25,19.78,41.2
2026-01-23,3.71,28.46,18.01,43.67
2026-01-24,1.19,27.52,19.87,41.97
2026-01-25,1.58,28.88,21.21,42.62
2026-01-26,1.21,25.54,22.4,41.79
2026-01-27,3.21,27.68,22.9,50.82
2026-01-28,1.53,31.08,19.95,35.85
2026-01-29,0.86,26.49,21.99,33.05
2026-01-30,0.57,32.84,23.04,35.58
2026-01-31,0.98,28.03,24.04,33.81
2026-02-01,2.12,33.41,25.56,44.07
2026-02-02,3.64,30.57,24.36,44.32
2026-02-03,2.3,34.17,23.3,35.32
2026-02-04,2.6,33.21,25.54,33.11
2026-02-05,4.39,30.2,25.61,38.25
2026-02-06,3.14,36.08,25.91,46.96
2026-02-07,0.36,36.76,25.71,30.0
2026-02-08,1.73,34.02,28.54,42.67
2026-02-09,0.47,33.87,26.77,34.71
2026-02-10,2.46,34.34,27.94,45.37
2026-02-11,0.3,32.93,25.55,34.89
2026-02-12,1.82,37.28,28.24,38.98
2026-02-13,1.77,34.19,26.41,33.03
2026-02-14,2.67,35.33,25.15,35.85
2026-02-15,2.32,34.0,28.05,47.87
2026-02-16,10.43,34.45,28.61,45.26
2026-02-17,1.34,33.25,27.52,39.4
2026-02-18,3.25,38.4,27.89,37.33
2026-02-19,1.09,35.64,29.44,32.5
2026-02-20,0.84,37.92,27.29,40.32
2026-02-21,1.43,36.03,24.98,42.47
2026-02-22,0.52,34.6,28.38,42.56
2026-02-23,2.4,35.31,28.27,42.89
2026-02-24,0.3,34.79,29.48,38.15
2026-02-25,3.85,35.85,27.36,43.85
2026-02-26,2.09,34.99,29.61,44.42
2026-02-27,4.05,35.03,29.29,51.53
2026-02-28,0.93,32.73,25.57,54.88
2026-03-01,5.88,33.72,28.69,45.36
2026-03-02,4.69,38.46,25.53,42.73
2026-03-03,4.48,33.61,24.66,46.76
2026-03-04,1.97,32.63,26.34,44.59
2026-03-05,3.82,35.17,25.67,44.48
2026-03-06,2.27,37.06,23.31,48.47
2026-03-07,4.99,31.06,26.27,44.13
2026-03-08,0.44,33.26,26.57,52.98
2026-03-09,2.53,32.11,27.41,50.04
2026-03-10,6.31,29.54,25.0,52.44
2026-03-11,4.51,34.19,22.51,50.91
2026-03-12,4.48,32.33,22.94,48.83
2026-03-13,4.18,32.16,25.43,48.38
2026-03-14,2.96,30.15,24.93,52.6
2026-03-15,1.14,32.18,24.03,51.71
2026-03-16,3.94,29.8,22.44,56.3
2026-03-17,1.95,30.2,22.79,55.8
2026-03-18,1.99,27.87,21.76,49.7
2026-03-19,2.59,27.24,21.23,57.54
2026-03-20,2.52,31.93,21.71,51.18
2026-03-21,1.17,27.83,20.9,55.51
2026-03-22,4.65,29.0,20.11,57.83
2026-03-23,2.85,27.93,20.13,49.62
